Sl.No.,Brand,Product_Description,Price,Product_Link,Rating
544,NAMASKAR,Woven Design Silk kurta,Rs. 2399,https://www.myntra.com/kurtas/namaskar/namaskar-ethnic-motifs-woven-design-silk-straight-kurta/22489586/buy,4.3
545,Indian Terrain,Slim Fit Checked Cotton shirt,Rs. 2199,https://www.myntra.com/shirts/indian-terrain/indian-terrain-slim-fit-checked-cotton-semiformal-shirt/16142338/buy,4.1
546,Roadster,Slim Fit Opaque Sustainable Casualshirt,Rs. 849,https://www.myntra.com/shirts/roadster/roadster-men-turquoise-blue-slim-fit-opaque-sustainable-casual-shirt/14641508/buy,4.1
547,RARE RABBIT,Slim Fit Printed Casual shirt,Rs. 2659,https://www.myntra.com/shirts/rare-rabbit/rare-rabbit-slim-fit-geometric-printed-casual-shirt/22076292/buy,4.1
548,U.S. Polo Assn. Denim Co.,Men Stretchable jeans,Rs. 2849,https://www.myntra.com/jeans/us-polo-assn-denim-co/u-s-polo-assn-denim-co-men-white-stretchable-jeans/19022094/buy,4.2
549,Tommy Hilfiger,Polo Collar Slim Fit tshirt,Rs. 2519,https://www.myntra.com/tshirts/tommy-hilfiger/tommy-hilfiger-striped-polo-collar-slim-fit-t-shirt/18819876/buy,3.7
550,Urbano Fashion,Mandarin Collar Cotton Pure Cotton tshirt,Rs. 428,https://www.myntra.com/tshirts/urbano-fashion/urbano-fashion-men-green-mandarin-collar-cotton-pure-cotton-t-shirt/11677084/buy,4
551,U.S. Polo Assn.,Men Pure Cotton Casual shirt,Rs. 1259,https://www.myntra.com/shirts/us-polo-assn/u-s-polo-assn-men-blue-and-rust-orange-tailored-fit-geometric-printed-pure-cotton-shirt/20603586/buy,4.3
552,WROGN,Men Slim Fit jeans,Rs. 1674,https://www.myntra.com/jeans/wrogn/wrogn-men-black--slim-fit-mid-rise-clean-look-jeans/11358928/buy,4.1
553,HERE&NOW,Men Slim Fit Sustainable Casual shirt,Rs. 1159,https://www.myntra.com/shirts/herenow/herenow-men-grey-slim-fit-denim-sustainable-casual-shirt/9260157/buy,4.2
554,Roadster,Regular Printed Casual shirt,Rs. 749,https://www.myntra.com/shirts/roadster/roadster-men-beige--brown-regular-fit-printed-sustainable-casual-shirt/12127394/buy,4.1
555,WROGN,Printed Slim Fit Pure Cotton tshirt,Rs. 699,https://www.myntra.com/tshirts/wrogn/wrogn-black-printed-slim-fit-pure-cotton-t-shirt/1320997/buy,4.2
556,Indian Terrain,Slim Fit Opaque Semiformal shirt,Rs. 1999,https://www.myntra.com/shirts/indian-terrain/indian-terrain-oxford-slim-fit-opaque-semiformal-shirt/22154408/buy,3.8
557,The Souled Store,Boxy Casual shirt,Rs. 1679,https://www.myntra.com/shirts/the-souled-store/the-souled-store-men-black-boxy-buffalo-checked-casual-shirt/20202448/buy,3.8
558,LOCOMOTIVE,Men Slim Fit Casual shirt,Rs. 645,https://www.myntra.com/shirts/locomotive/locomotive-men-white-slim-fit-casual-shirt/17934090/buy,4.2
