Sl.No.,Brand,Product_Description,Price,Product_Link,Rating
656,Being Human,Men High Neck tshirt,Rs. 599,https://www.myntra.com/tshirts/being-human/being-human-men-white-high-neck-cotton-t-shirt/19876558/buy,4.9
657,Louis Philippe,Men Formal shirt,Rs. 1209,https://www.myntra.com/shirts/louis-philippe/louis-philippe-men-beige-solid-classic-fit-formal-pure-cotton-shirt/17858342/buy,4.3
658,Sztori,Men Melange tshirt,Rs. 879,https://www.myntra.com/tshirts/sztori/sztori-men-plus-size-burgundy-melange-effect-t-shirt/16345744/buy,4.3
659,H&M,Relaxed Fit Printed tshirt,Rs. 799,https://www.myntra.com/tshirts/hm/hm-men-relaxed-fit-printed-t-shirt/22730638/buy,3.7
660,Mast & Harbour,Men Cotton Casual Sustainable shirt,Rs. 645,https://www.myntra.com/shirts/mast--harbour/mast--harbour-men-grey--purple-printed-pure-cotton-casual-sustainable-shirt/9869571/buy,4.2
661,Levis,Men Slim Fit jeans,Rs. 1739,https://www.myntra.com/jeans/levis/levis-men-blue-slim-fit-light-fade-stretchable-jeans/18074962/buy,4.3
662,Roadster,Men Slim Tapered Fit jeans,Rs. 1019,https://www.myntra.com/jeans/roadster/roadster-men-blue-light-fade-slim-tapered-fit-stretchable-jeans/13866642/buy,4.1
663,Anouk,Men Woven Design kurta,Rs. 499,https://www.myntra.com/kurtas/anouk/anouk-men-blue-woven-design-pure-cotton-kurta/17593292/buy,4.3
664,Roadster,Slub Effect Printed Cotton Pure Cotton tshirt,Rs. 341,https://www.myntra.com/tshirts/roadster/roadster-men-maroon-slub-effect-printed-cotton-pure-cotton-t-shirt/2275336/buy,4
665,ADIDAS,M 3S FL Solid sweatshirt,Rs. 2199,https://www.myntra.com/sweatshirts/adidas/adidas-men-m-3s-fl-solid-longline-sweatshirt/18520098/buy,4.5
666,LOCOMOTIVE,Men Slim Fit jeans,Rs. 791,https://www.myntra.com/jeans/locomotive/locomotive-men-black-slim-fit-stretchable-jeans/17504872/buy,3.9
667,LUX NITRO,Polo Collar Pockets tshirt,Rs. 315,https://www.myntra.com/tshirts/lux-nitro/lux-nitro-polo-collar-anti-odour-pockets-t-shirt/23123484/buy,4.5
668,Nautica,Polo Collar Cotton tshirt,Rs. 1799,https://www.myntra.com/tshirts/nautica/nautica-typography--striped-polo-collar-pure-cotton-t-shirt/21264384/buy,4.7
669,United Colors of Benetton,Men Carrot Fit jeans,Rs. 2449,https://www.myntra.com/jeans/united-colors-of-benetton/united-colors-of-benetton-men-blue-carrot-fit-mid-rise-clean-look-stretchable-jeans/12940856/buy,4.2
670,Roadster,Men Slim Fit jeans,Rs. 799,https://www.myntra.com/jeans/roadster/roadster-men-navy-blue-slim-fit-mid-rise-clean-look-stretchable-jeans/10064493/buy,3.7
671,Hancock,Men Cotton Formal shirt,Rs. 1474,https://www.myntra.com/shirts/hancock/hancock-men-white-pure-cotton-slim-fit-formal-shirt/17090996/buy,4.2
672,Roadster,Regular Checked Casual shirt,Rs. 779,https://www.myntra.com/shirts/roadster/roadster-men-navy-blue--pink-checked-sustainable-casual-shirt/11896028/buy,4.3
673,Indian Terrain,Slim Fit Opaque Semiformal shirt,Rs. 2399,https://www.myntra.com/shirts/indian-terrain/indian-terrain-men-blue-slim-fit-tartan-checks-opaque-checked-semiformal-shirt/16144676/buy,4.6
674,WILD WEST,Men Slim Fit Casual shirt,Rs. 539,https://www.myntra.com/shirts/wild-west/wild-west-men-black-slim-fit-casual-shirt/9246129/buy,4.4
675,LOCOMOTIVE,Slim Fit Casual shirt,Rs. 517,https://www.myntra.com/shirts/locomotive/locomotive-men-green-slim-fit-striped-casual-shirt/14437288/buy,4.1
676,Puma,Men Polo Collar Slim Fit tshirt,Rs. 1483,https://www.myntra.com/tshirts/puma/puma-men-tan-self-design-striped-polo-collar-slim-fit-t-shirt/18981952/buy,4.1
677,Roadster,Men Cotton Linen Casual shirt,Rs. 764,https://www.myntra.com/shirts/roadster/roadster-men-maroon-cotton-linen-sustainable-casual-shirt/8217979/buy,4.4
678,HIGHLANDER,Men Tapered Fit jeans,Rs. 652,https://www.myntra.com/jeans/highlander/highlander-men-black-tapered-fit-jeans/14063040/buy,4
679,Van Heusen,Slim Fit Formal shirt,Rs. 1679,https://www.myntra.com/shirts/van-heusen/van-heusen-men-navy-blue-slim-fit-grid-tattersall-checks-checked-formal-shirt/19383772/buy,4.3
680,Powerlook,Printed Casual shirt,Rs. 863,https://www.myntra.com/shirts/powerlook/powerlook-black--white-ethnic-motifs-printed-casual-shirt/22613902/buy,4.2
681,Indian Terrain,Pure Cotton Semiformal shirt,Rs. 2399,https://www.myntra.com/shirts/indian-terrain/indian-terrain-men-pure-cotton-slim-fit-tartan-checks-semiformal-shirt/16143468/buy,4.3
682,NAMASKAR,Woven Design Silk kurta,Rs. 2399,https://www.myntra.com/kurtas/namaskar/namaskar-ethnic-motifs-woven-design-silk-straight-kurta/22489584/buy,3.6
683,Mast & Harbour,Men Slim Tapered Fit jeans,Rs. 1149,https://www.myntra.com/jeans/mast--harbour/mast--harbour-men-slim-tapered-fit-stretchable-jeans/21425578/buy,4.3
684,Roadster,Pure Cotton Sustainable Casualshirt,Rs. 849,https://www.myntra.com/shirts/roadster/roadster-men-blue-solid-opaque-pure-cotton-sustainable-casual-shirt/14640470/buy,4.2
685,Roadster,Men Solid Waffle tshirt,Rs. 449,https://www.myntra.com/tshirts/roadster/roadster-men-blue--waffle-texture-t-shirt/16998618/buy,4.1
686,LOCOMOTIVE,Men Solid Denim jacket,Rs. 782,https://www.myntra.com/jackets/locomotive/locomotive-men-white-solid-denim-jacket/10611280/buy,4.2
687,Allen Solly Sport,Men Skinny Fit jeans,Rs. 1494,https://www.myntra.com/jeans/allen-solly-sport/allen-solly-sport-men-skinny-fit-heavy-fade-jeans/21726092/buy,2.6
688,RARE RABBIT,Slim Fit Casual shirt,Rs. 2549,https://www.myntra.com/shirts/rare-rabbit/rare-rabbit-men-maroon-slim-fit-striped-casual-shirt/19290236/buy,4.6
689,HRX by Hrithik Roshan,Rapid-Dry Training tshirt,Rs. 329,https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-rapid-dry-training-t-shirt/21464694/buy,5
690,ether,Pure Cotton tshirt,Rs. 359,https://www.myntra.com/tshirts/ether/ether-white-pure-cotton-t-shirt/1018619/buy,4.1
691,Jack & Jones,Solid Bomber jacket,Rs. 2249,https://www.myntra.com/jackets/jack--jones/jack--jones-men-pink-solid-bomber-jacket/19376618/buy,4.8
692,HERE&NOW,Men White Printed tshirt,Rs. 279,https://www.myntra.com/tshirts/herenow/herenow-men-white--orange-graphic-printed-pure-cotton-casual-t-shirt/15609946/buy,4.4
693,Roadster,Men Regular Solid Casual shirt,Rs. 599,https://www.myntra.com/shirts/roadster/roadster-men-grey-regular-fit-solid-sustainable-casual-shirt/2284694/buy,4.3
694,U.S. Polo Assn.,Men Polo Collar tshirt,Rs. 2099,https://www.myntra.com/tshirts/us-polo-assn/us-polo-assn-men-polo-collar-slim-fit-pure-cotton-t-shirt/21550072/buy,3.5
695,Indian Terrain,Slim Fit Pure Cotton shirt,Rs. 2199,https://www.myntra.com/shirts/indian-terrain/indian-terrain-men-slim-fit-floral-printed-pure-cotton-casual-shirt/16142650/buy,3.5
696,INVICTUS,Slim Fit Pure Cotton shirt,Rs. 764,https://www.myntra.com/shirts/invictus/invictus-men-maroon-slim-fit-striped-semiformal-pure-cotton-shirt/14002676/buy,4
697,WROGN,Solid Polo Collar Pure Cotton tshirt,Rs. 959,https://www.myntra.com/tshirts/wrogn/wrogn-men-navy-blue-solid-slim-fit-polo-collar-pure-cotton-t-shirt/12328950/buy,4.1
698,Allen Solly,Pure Cotton Formal shirt,Rs. 2969,https://www.myntra.com/shirts/allen-solly/allen-solly-men-grey-slim-fit-tartan-checked-pure-cotton-formal-shirt/20272096/buy,4.8
699,Roadster,Printed Round Neck Pure Cotton tshirt,Rs. 359,https://www.myntra.com/tshirts/roadster/roadster-men-off-white-solid-round-neck-pure-cotton-t-shirt-with-printed-detailing/12251250/buy,4.2
700,Mast & Harbour,Cotton Slim Checked shirt,Rs. 674,https://www.myntra.com/shirts/mast--harbour/mast--harbour-men-blue-cotton-slim-fit-tartan-checked-shirt/19894254/buy,4.1
701,Roadster,Men Slim Fit jeans,Rs. 968,https://www.myntra.com/jeans/roadster/roadster-men-blue-slim-fit-mid-rise-clean-look-jeans/2296001/buy,3.7
702,HERE&NOW,Dyed Round Neck Pure Cotton tshirt,Rs. 351,https://www.myntra.com/tshirts/herenow/herenow-men-grey--white-dyed-round-neck-pure-cotton-t-shirt/9376103/buy,4.3
703,Levis,Men Mid Rise Heavy Fade jeans,Rs. 3439,https://www.myntra.com/jeans/levis/levis-men-mid-rise-heavy-fade-stretchable-jeans/21927370/buy,4.3
704,WROGN,Men Jogger jeans,Rs. 1595,https://www.myntra.com/jeans/wrogn/wrogn-men-blue-jogger-fit-mid-rise-clean-look-stretchable-jeans/8676109/buy,4.1
705,U.S. Polo Assn.,Tailored Cotton Casual shirt,Rs. 1559,https://www.myntra.com/shirts/us-polo-assn/u-s-polo-assn-men-white--blue-tailored-fit-striped-pure-cotton-casual-shirt/19446152/buy,4.1
706,U.S. Polo Assn. Denim Co.,Men Regallo Skinny Fit jeans,Rs. 1679,https://www.myntra.com/jeans/us-polo-assn-denim-co/u-s-polo-assn-denim-co-men-blue-regallo-skinny-fit-mid-rise-light-fade-stretchable-jeans/19022504/buy,4.1
707,Roadster,Men Slim Fit jeans,Rs. 1099,https://www.myntra.com/jeans/roadster/roadster-men-navy-blue-slim-fit-low-distress-light-fade-stretchable-jeans/13249876/buy,3.7
708,Louis Philippe Jeans,Men Slim Fit Low-Rise jeans,Rs. 1649,https://www.myntra.com/jeans/louis-philippe-jeans/louis-philippe-jeans-men-blue-slim-fit-low-rise-light-fade-stretchable-jeans/15458978/buy,4.2
709,Nike,DF LS AOP TOP DYE tshirt,Rs. 2621,https://www.myntra.com/tshirts/nike/nike-brand-logo-dri-fit-ls-aop-top-dye-sports-t-shirt-/21467418/buy,4.2
710,WROGN,Men Slim Fit jeans,Rs. 1884,https://www.myntra.com/jeans/wrogn/wrogn-men-black-slim-fit-mid-rise-clean-look-stretchable-jeans/11359156/buy,4.2
711,Blackberrys,Checked Slim Fit shirt,Rs. 1197,https://www.myntra.com/shirts/blackberrys/blackberrys-tartan-checked-slim-fit-casual-shirt/19024066/buy,4.6
712,Mast & Harbour,Men Slim Tapered Fit jeans,Rs. 1319,https://www.myntra.com/jeans/mast--harbour/mast--harbour-men-slim-tapered-fit-stretchable-jeans/16882842/buy,4.3
713,Allen Solly,Pure Cotton tshirt,Rs. 1499,https://www.myntra.com/tshirts/allen-solly/allen-solly-polo-collar-pure-cotton-t-shirt/22356278/buy,4.9
714,INVICTUS,Men Striped Cotton shirt,Rs. 674,https://www.myntra.com/shirts/invictus/invictus-men-beige--white-slim-fit-striped-cotton-casual-shirt/14002708/buy,4.1
715,Indian Terrain,Slim Fit Opaque Semiformal shirt,Rs. 2399,https://www.myntra.com/shirts/indian-terrain/indian-terrain-men-slim-fit-floral-printed-semiformal-shirt/16144226/buy,3.5
716,PARIS HAMILTON,Men Bootcut jeans,Rs. 999,https://www.myntra.com/jeans/paris-hamilton/paris-hamilton-bootcut-stretchable-jeans/22274580/buy,3.8
717,HRX by Hrithik Roshan,Training Rapid-Dry tshirts,Rs. 359,https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-training-men-blue-beast-rapid-dry-typography-tshirts/17860676/buy,4.4
718,Arrow Sport,Men Slim Fit Casual shirt,Rs. 1559,https://www.myntra.com/shirts/arrow-sport/arrow-sport-men-blue-pure-cotton-original-slim-fit-checked-casual-shirt/19846866/buy,4.5
719,Allen Solly Sport,Men Printed Cotton tshirt,Rs. 766,https://www.myntra.com/tshirts/allen-solly-sport/allen-solly-sport-men-blue-printed-cotton-t-shirt/18593362/buy,4.4
720,Roadster,Men Printed Cotton Pure Cotton tshirt,Rs. 299,https://www.myntra.com/tshirts/roadster/roadster-men-navy-blue--mustard-yellow-typography-printed-pure-cotton-t-shirt/13745122/buy,4.2
721,FUBAR,Spread Collar Formal shirt,Rs. 444,https://www.myntra.com/shirts/fubar/fubar-modern-spread-collar-cotton-formal-shirt/22642798/buy,3.9
722,Anouk,Men Striped kurta,Rs. 679,https://www.myntra.com/kurtas/anouk/anouk-men-navy-blue--white-striped-indigo-kurta/18595864/buy,4.3
723,HIGHLANDER,Men Tapered Fit jeans,Rs. 699,https://www.myntra.com/jeans/highlander/highlander-men-blue-tapered-fit-mid-rise-clean-look-jeans/12836260/buy,3.7
724,Roadster,Cotton Casual shirt,Rs. 949,https://www.myntra.com/shirts/roadster/the-roadster-lifestyle-co-men-pure-cotton-casual-shirt/18288988/buy,3.7
725,Jompers,Men Cotton kurta,Rs. 1633,https://www.myntra.com/kurtas/jompers/jompers-men-chikankari-embroidered-cotton-kurta/21665278/buy,3.8
726,WROGN,Men Mid-Rise Slim Fit jeans,Rs. 1819,https://www.myntra.com/jeans/wrogn/wrogn-men-mid-rise-slim-fit-mildly-distressed-heavy-fade-acid-wash-stretchable-jeans/22146996/buy,4.2
727,RAJUBHAI HARGOVINDAS,Men Pure Cotton kurta,Rs. 1189,https://www.myntra.com/kurtas/rajubhai-hargovindas/rajubhai-hargovindas-men-woven-design-pure-cotton-kurta/21416468/buy,4.3
728,Nautica,Men Pure Cotton Checked shirt,Rs. 1649,https://www.myntra.com/shirts/nautica/nautica-men-green-and-white-slim-fit-micro-checked-pure-cotton-casual-shirt/19561256/buy,4.1
729,WROGN,Slim Printed Casual shirt,Rs. 1149,https://www.myntra.com/shirts/wrogn/wrogn-men-navy-slim-fit-printed-casual-shirt/1427724/buy,4.1
730,Dennis Lingo,Men Slim Fit Casual shirt,Rs. 569,https://www.myntra.com/shirts/dennis-lingo/dennis-lingo-men-black-slim-fit-solid-casual-shirt/6626369/buy,4.4
731,Mast & Harbour,Men Slim Fit jeans,Rs. 1199,https://www.myntra.com/jeans/mast--harbour/mast--harbour-men-black-slim-fit-light-fade-stretchable-jeans/15922018/buy,3.9
732,FUBAR,Slim Fit Mandarin Collar shirt,Rs. 699,https://www.myntra.com/shirts/fubar/fubar-slim-fit-mandarin-collar-casual-shirt/22988250/buy,2.4
733,Allen Solly,Men Slim Fit Casual shirt,Rs. 2124,https://www.myntra.com/shirts/allen-solly/allen-solly-men-black-slim-fit-casual-shirt/20921116/buy,4.8
734,Marks & Spencer,Spread Collar Casual shirt,Rs. 1499,https://www.myntra.com/shirts/marks--spencer/marks--spencer-spread-collar-casual-shirt/21889468/buy,2.5
735,WROGN,Men Slim Fit jeans,Rs. 1481,https://www.myntra.com/jeans/wrogn/wrogn-men-black-slim-fit-stretchable-jeans/1729342/buy,4.1
736,Tommy Hilfiger,Slim Fit Casual shirt,Rs. 2759,https://www.myntra.com/shirts/tommy-hilfiger/tommy-hilfiger-men-grey--red-slim-fit-floral-printed-pure-cotton-casual-shirt/19842276/buy,4.1
737,Mast & Harbour,Men Carrot Fit jeans,Rs. 1099,https://www.myntra.com/jeans/mast--harbour/mast--harbour-men-carrot-fit-light-fade-jeans/21425532/buy,3.8
738,Flying Machine,Men Tapered Fit jeans,Rs. 1563,https://www.myntra.com/jeans/flying-machine/flying-machine-men-black-tapered-fit-light-fade-stretchable-jeans/19059640/buy,4.2
739,HIGHLANDER,Men Slim Fit Casual shirt,Rs. 598,https://www.myntra.com/shirts/highlander/highlander-men-green-slim-fit-floral-printed-casual-shirt/20377658/buy,4.3
740,Hancock,Men Slim Fit Formal shirt,Rs. 979,https://www.myntra.com/shirts/hancock/hancock-men-grey-solid-french-cuff-slim-fit-pure-cotton-formal-shirt/8689851/buy,4
741,Roadster,Pure Cotton Checked shirt,Rs. 749,https://www.myntra.com/shirts/roadster/roadster-men-blue-pure-cotton-checked-casual-shirt/19742848/buy,4
742,DENNISON,Men Cotton kurta,Rs. 749,https://www.myntra.com/kurtas/dennison/dennison-men-black-cotton-kurta/13987978/buy,4.1
743,Levis,Men 550 Relaxed Tapered jeans,Rs. 2089,https://www.myntra.com/jeans/levis/levis-men-blue-550-relaxed-tapered-fit-heavy-fade-stretchable-jeans/18973804/buy,4.4
744,H&M,Short-Sleeved shirt,Rs. 1499,https://www.myntra.com/shirts/hm/hm-regular-fit-short-sleeved-shirt/22138464/buy,4.3
745,WROGN,Men SF Stretchable jeans,Rs. 1679,https://www.myntra.com/jeans/wrogn/wrogn-men-grey-slim-fit-mildly-distressed-heavy-fade-stretchable-jeans/15068896/buy,4.4
746,Tommy Hilfiger,Polo Collar Slim Fit tshirt,Rs. 2239,https://www.myntra.com/tshirts/tommy-hilfiger/tommy-hilfiger-polo-collar-slim-fit-t-shirt/21489170/buy,4.6
747,HERE&NOW,Slim Fit Striped Casual shirt,Rs. 759,https://www.myntra.com/shirts/herenow/herenow-men-white--navy-blue-slim-fit-striped-casual-shirt/12654940/buy,4.3
748,Indian Terrain,Slim Checked Cotton shirt,Rs. 2199,https://www.myntra.com/shirts/indian-terrain/indian-terrain-slim-fit-tartan-checked-cotton-semiformal-shirt/22154598/buy,2.6
749,The Indian Garage Co,Windcheater Sporty jacket,Rs. 683,https://www.myntra.com/jackets/the-indian-garage-co/the-indian-garage-co-men-windcheater-sporty-jacket/22856014/buy,2.7
750,HIGHLANDER,Slim Fit Casual Cotton shirt,Rs. 664,https://www.myntra.com/shirts/highlander/highlander-floral-printed-slim-fit-spread-collar-casual-cotton-shirt/22463784/buy,4.2
751,Mast & Harbour,Men Skinny Fit jeans,Rs. 734,https://www.myntra.com/jeans/mast--harbour/mast--harbour-men-navy-blue-skinny-fit-low-distress-light-fade-stretchable-jeans/19761162/buy,4
752,Allen Cooper,Men Faded Stretchable jeans,Rs. 1224,https://www.myntra.com/jeans/allen-cooper/allen-cooper-men-heavy-fade-mid-rise-stretchable-jeans/22757702/buy,2.9
753,Roadster,Pack of 2 Round Neck tshirt,Rs. 779,https://www.myntra.com/tshirts/roadster/roadster-men-pack-of-2-solid-round-neck-t-shirt/12117174/buy,4
754,Allen Solly Sport,Men Slim Fit Cotton jeans,Rs. 3381,https://www.myntra.com/jeans/allen-solly-sport/allen-solly-sport-men-navy-blue-slim-fit-light-fade--cotton-jeans/20591034/buy,2.3
755,Jompers,Men Ethnic Motifs Cotton kurta,Rs. 1633,https://www.myntra.com/kurtas/jompers/jompers-men-ethnic-motifs-mirror-work-cotton-kurta/20882618/buy,4.2
756,Allen Solly,Slim Fit Casual shirt,Rs. 1499,https://www.myntra.com/shirts/allen-solly/allen-solly-men-slim-fit-printed-casual-shirt/21089046/buy,3.5
757,Sztori,Plus Size Cotton Casual shirt,Rs. 1619,https://www.myntra.com/shirts/sztori/sztori-plus-size-pure-cotton-casual-shirt/22049400/buy,4.4
758,Louis Philippe,Men Solid Polo Collar tshirt,Rs. 1329,https://www.myntra.com/tshirts/louis-philippe/louis-philippe-men-peach-coloured-pure-cotton-solid-polo-collar-t-shirt/18218266/buy,4.5
759,Anouk,Men Regular Fit Casual shirt,Rs. 629,https://www.myntra.com/shirts/anouk/anouk-men-navy-blue--beige-regular-fit-printed-casual-shirt/10356893/buy,4.1
760,Calvin Klein Jeans,Men Pure Cotton tshirt,Rs. 2249,https://www.myntra.com/tshirts/calvin-klein-jeans/calvin-klein-jeans-men-pure-cotton-brand-logo-printed-t-shirt/21086706/buy,3.5
761,Roadster,Cotton Solid Casual shirt,Rs. 629,https://www.myntra.com/shirts/roadster/roadster-men-off-white-pure-cotton-solid-sustainable-casual-shirt/15221350/buy,4.3
762,HIGHLANDER,Olive Green Denim jacket,Rs. 1699,https://www.myntra.com/jackets/highlander/highlander-men-olive-green-capulet-denim-jacket/16031126/buy,3.9
763,Indian Terrain,Organic Cotton Checked shirt,Rs. 2399,https://www.myntra.com/shirts/indian-terrain/indian-terrain-men-organic-cotton-slim-fit-tartan-checked-semiformal-shirt/16144836/buy,5
764,FUBAR,Slim Fit Formal shirt,Rs. 499,https://www.myntra.com/shirts/fubar/fubar-slim-fit-spread-collar-formal-shirt/22913926/buy,5
765,The Souled Store,Oversized tshirt,Rs. 944,https://www.myntra.com/tshirts/the-souled-store/the-souled-store-men-brown-solid-mushroom-oversized-t-shirt/16713286/buy,4.1
766,Roadster,Solid Round Neck tshirt,Rs. 359,https://www.myntra.com/tshirts/roadster/roadster-men-olive-green-solid-pocket-detail-round-neck-t-shirt/11544694/buy,4.2
767,U.S. Polo Assn. Denim Co.,Men Pure Cotton tshirt,Rs. 1599,https://www.myntra.com/tshirts/us-polo-assn-denim-co/us-polo-assn-denim-co-men-navy-blue-pure-cotton-brand-logo-printed-polo-collar-t-shirt/19746326/buy,4.3
768,WROGN,Men Jogger jeans,Rs. 1709,https://www.myntra.com/jeans/wrogn/wrogn-men-blue-slim-fit-mid-rise-clean-look-jogger-jeans/1758525/buy,4.1
769,Kook N Keech Marvel,tshirts,Rs. 319,https://www.myntra.com/tshirts/kook-n-keech-marvel/kook-n-keech-marvel-white-civil-war-print-pure-cotton-t-shirt/1293766/buy,4.2
770,Mast & Harbour,Men Carrot Fit jeans,Rs. 944,https://www.myntra.com/jeans/mast--harbour/mast--harbour-men-carrot-fit-stretchable-jeans/20604314/buy,3.9
771,The Indian Garage Co,Solid Polo tshirt,Rs. 368,https://www.myntra.com/tshirts/the-indian-garage-co/the-indian-garage-co-men-black-solid-polo-t-shirt/8906951/buy,3.9
772,HRX by Hrithik Roshan,Men Active Bomber jacket,Rs. 1799,https://www.myntra.com/jackets/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-olive-green-solid-active-bomber-jacket/4453297/buy,4.1
773,HERE&NOW,Men Slim Fit Stretchable jeans,Rs. 989,https://www.myntra.com/jeans/herenow/herenow-men-slim-fit-stretchable-jeans/21808734/buy,4
774,Roadster,Men Solid Waffle tshirt,Rs. 449,https://www.myntra.com/tshirts/roadster/roadster-men-teal-blue--waffle-texture-t-shirt/16998586/buy,4
775,Nautica,Pure Cotton Polo tshirt,Rs. 1169,https://www.myntra.com/tshirts/nautica/nautica-brand-logo-embroidered-polo-collar-pure-cotton-t-shirt/21264182/buy,4.4
776,The Indian Garage Co,Men Slim Fit jeans,Rs. 923,https://www.myntra.com/jeans/the-indian-garage-co/the-indian-garage-co-slim-fit-printed-jeans/21950012/buy,4.2
777,Louis Philippe Sport,Men Polo Collar Slim Fit tshirt,Rs. 824,https://www.myntra.com/tshirts/louis-philippe-sport/louis-philippe-sport-men-polo-collar-slim-fit-t-shirt/21474648/buy,4.5
778,HIGHLANDER,Slim Fit Casual shirt,Rs. 430,https://www.myntra.com/shirts/highlander/highlander-men-off-white--green-slim-fit-printed-casual-shirt/14240366/buy,4
779,Monte Carlo,Striped Polo Collar tshirt,Rs. 1224,https://www.myntra.com/tshirts/monte-carlo/monte-carlo-striped-polo-collar-casual-knitted-cotton-t-shirt/23094388/buy,4.6
780,HIGHLANDER,Men Grey Bootcut jeans,Rs. 949,https://www.myntra.com/jeans/highlander/highlander-men-grey-bootcut-clean-look-heavy-fade-stretchable-jeans/19419050/buy,3.3
781,Mast & Harbour,Men Skinny Fit jeans,Rs. 839,https://www.myntra.com/jeans/mast--harbour/mast--harbour-men-blue-skinny-fit-slash-knee-light-fade-logo-printed-stretchable-jeans/19761344/buy,3.7
782,Roadster,Men Cotton Printed tshirt,Rs. 489,https://www.myntra.com/tshirts/roadster/roadster-men-white-pure-cotton-printed-polo-collar-t-shirt/16996846/buy,4.4
783,Pepe Jeans,Men Heavy Fade Cotton jeans,Rs. 3059,https://www.myntra.com/jeans/pepe-jeans/pepe-jeans-men-heavy-fade-crinkled-cotton-jeans/21910266/buy,4.9
784,Roadster,Regular Fit Casual shirt,Rs. 849,https://www.myntra.com/shirts/roadster/roadster-men-grey-regular-fit-solid-casual-sustainable-shirt/11326640/buy,3.8
785,Difference of Opinion,Printed Loose tshirt,Rs. 495,https://www.myntra.com/tshirts/difference-of-opinion/difference-of-opinion-pure-cotton-printed-loose-t-shirt/22172850/buy,4.3
786,Indian Terrain,Pure Cotton Semiformal shirt,Rs. 1999,https://www.myntra.com/shirts/indian-terrain/indian-terrain-men-pure-cotton-slim-fit-tartan-checks-opaque-semiformal-shirt/17149170/buy,4.3
787,Roadster,Printed Regular Casual shirt,Rs. 674,https://www.myntra.com/shirts/roadster/roadster-men-olive-brown--black-regular-fit-printed-casual-sustainable-shirt/11325878/buy,4.3
788,Kenneth Cole,Men Slim Fit Casual shirt,Rs. 1119,https://www.myntra.com/shirts/kenneth-cole/kenneth-cole-men-dark-olive-green-slim-fit-solid-casual-shirt/19408182/buy,4.4
789,United Colors of Benetton,Brand Logo Printed sweatshirt,Rs. 1349,https://www.myntra.com/sweatshirts/united-colors-of-benetton/united-colors-of-benetton-men-navy-blue-brand-logo-printed-sweatshirt/15341946/buy,4.5
790,Manyavar,Men Floral Printed kurta,Rs. 2999,https://www.myntra.com/kurtas/manyavar/manyavar-men-navy-blue--mustard-yellow-floral-printed-kurta/13699886/buy,4.7
791,Peter England Casuals,Cotton Casual shirt,Rs. 2046,https://www.myntra.com/shirts/peter-england-casuals/peter-england-casuals-spread-collar-slim-fit-cotton-casual-shirt/22176982/buy,4.5
792,Puma,Men Graphic Printed tshirt,Rs. 2249,https://www.myntra.com/tshirts/puma/puma-x-royal-challengers-bangalore-arcade-men-graphic-printed-sports-t-shirt/22477414/buy,2.5
793,Mast & Harbour,Men Straight Fit jeans,Rs. 1499,https://www.myntra.com/jeans/mast--harbour/mast--harbour-men-straight-fit-stretchable-jeans/20604312/buy,4.7
794,Calvin Klein Jeans,Men Brand Logo Printed tshirt,Rs. 2879,https://www.myntra.com/tshirts/calvin-klein-jeans/calvin-klein-jeans-men-brand-logo-printed-pure-cotton-t-shirt/21086578/buy,4.4
795,Flying Machine,Men Slim Fit Casual shirt,Rs. 899,https://www.myntra.com/shirts/flying-machine/flying-machine-men-light-green-standard-slim-fit-printed-pure-cotton-casual-shirt/20042758/buy,4.3
796,GANT,Typography Printed tshirt,Rs. 2309,https://www.myntra.com/tshirts/gant/gant-typography-printed-cotton-t-shirt/22026864/buy,4.2
797,The Indian Garage Co,Men Striped Casual shirt,Rs. 577,https://www.myntra.com/shirts/the-indian-garage-co/the-indian-garage-co-men-teal-horizontal-striped-cotton-casual-shirt/18960122/buy,4.2
798,Indian Terrain,Slim Fit Printed Cotton shirt,Rs. 2099,https://www.myntra.com/shirts/indian-terrain/indian-terrain-slim-fit-tartan-checked-cotton-semiformal-shirt/17149304/buy,4.4
799,HRX by Hrithik Roshan,Football Rapid-Dry tshirts,Rs. 404,https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-football-rapid-dry-typography-t-shirt/17860752/buy,4.8
800,Allen Solly,Slim Fit Formal shirt,Rs. 2474,https://www.myntra.com/shirts/allen-solly/allen-solly-men-slim-fit-tartan-checks-formal-shirt/20214310/buy,3.9
801,Bonkers Corner,Cotton Loose tshirt,Rs. 799,https://www.myntra.com/tshirts/bonkers-corner/bonkers-corner-drop-shoulder-sleeves-cotton-loose-t-shirt/22221502/buy,4.4
802,Flying Machine,Men Stretchable jeans,Rs. 2249,https://www.myntra.com/jeans/flying-machine/flying-machine-slim-fit-coloured-low-rise-twill-stretchable-jeans/22017582/buy,4.8
803,Bushirt,Pure Cotton Casual shirt,Rs. 1139,https://www.myntra.com/shirts/bushirt/bushirt-classic-tartan-checks-pure-cotton-casual-shirt/23015470/buy,3.6
804,SOJANYA,Zari Woven Design kurta,Rs. 995,https://www.myntra.com/kurtas/sojanya/sojanya-mandarin-collar-ethnic-motifs-zari-woven-design-kurta/22389756/buy,5
